97	31	0
297	823	0
623	1386	0
473	1815	0
204	231	0
74	128	0
262	84	0
118	176	0
89	108	0
301	584	0
360	1330	0
138	202	0
453	740	0
293	661	0
251	317	0
122	148	0
135	86	0
0	97	0
402	626	0
498	684	0
617	1454	0
568	2139	0
179	199	0
340	729	0
562	517	0
518	481	0
625	719	0
202	193	0
16	210	0
420	1003	0
280	130	0
185	69	0
92	209	0
51	202	0
136	282	0
164	190	0
293	223	0
203	179	0
371	299	0
97	117	0
214	196	0
16	101	0
546	1940	0
5	194	0
657	879	0
154	201	0
216	644	0
132	196	0
289	894	0
163	313	0
396	804	0
165	263	0
33	112	0
26	136	0
238	197	0
189	142	0
573	1184	0
25	175	0
260	1207	0
15	92	0
237	159	0
128	214	0
106	79	0
498	435	0
536	776	0
119	116	0
216	266	0
434	1667	0
157	37	0
221	780	0
116	119	0
286	1197	0
128	190	0
366	246	0
105	109	0
198	81	0
38	79	0
621	1953	0
30	138	0
270	1074	0
308	177	0
528	1092	0
119	134	0
128	164	0
283	818	0
580	694	0
172	137	0
51	74	0
126	101	0
587	1902	0
162	241	0
439	1919	0
277	683	0
0	161	0
375	583	1051
11	148	0
218	230	0
163	292	0
6	198	0
349	607	0
210	259	0
9	106	0
362	261	0
218	251	0
606	524	0
111	123	0
157	219	0
134	131	0
205	163	0
119	89	0
248	1152	0
30	162	0
204	529	0
208	238	0
205	196	0
142	453	0
0	133	0
227	267	0
681	618	1324
13	76	0
145	658	0
557	372	0
61	203	0
259	127	0
409	396	0
273	598	25
507	308	0
227	283	0
521	794	0
104	147	0
0	230	0
150	259	0
250	631	0
176	725	0
134	141	0
107	217	0
58	64	0
79	152	0
175	117	0
252	270	0
127	207	0
536	1193	0
8	63	0
302	308	0
522	459	0
90	201	0
277	291	0
468	702	489
349	1086	0
79	116	0
542	1411	0
663	734	0
9	140	0
63	246	0
142	34	0
530	625	0
182	162	0
61	244	0
278	845	0
45	73	0
52	147	0
141	286	0
118	219	0
50	285	0
390	500	0
89	147	0
279	293	0
0	87	0
463	1109	0
432	421	0
154	441	0
4	118	0
388	573	0
308	343	0
35	171	0
403	1405	0
463	328	0
385	197	0
194	318	0
403	340	0
456	436	0
159	210	0
110	313	0
147	316	0
424	486	0
379	426	0
329	1029	0
256	751	0
203	1127	0
5	57	0
492	1025	0
563	1818	0
308	182	0
14	125	0
110	74	0
12	238	0
17	79	0
313	270	0
56	162	0
127	158	0
257	661	0
134	507	0
114	220	0
332	321	0
604	853	0
635	782	0
541	158	0
270	245	0
78	30	0
144	257	0
368	296	0
17	268	0
164	98	0
154	104	0
537	929	0
515	765	0
146	244	0
0	155	0
66	174	0
406	1263	0
622	2018	0
64	166	0
48	82	0
131	221	0
509	1995	0
8	114	0
255	556	0
434	946	0
202	582	0
151	97	0
48	163	0
42	73	0
415	519	0
162	179	0
7	144	0
534	1003	0
618	1811	0
310	246	0
199	328	0
118	85	0
261	251	0
147	136	0
188	198	0
0	158	0
56	53	0
578	610	0
607	1640	0
63	114	0
476	562	0
85	270	0
378	505	0
0	166	0
206	660	0
23	104	0
0	209	0
66	125	0
128	134	0
300	630	0
544	547	0
180	298	0
427	142	0
432	1154	0
99	159	0
271	129	0
78	31	0
542	197	0
216	143	0
191	200	0
0	238	0
14	71	0
106	72	0
170	266	0
108	140	0
18	242	0
14	135	0
573	747	0
235	354	0
179	747	0
