10	0	4	0	250000000.000
10	1	4	6	132860250.000
10	2	4	13	63546646.000
10	3	4	15	51472783.000
10	4	4	29	11775322.000
10	5	4	32	8584210.000
10	6	4	33	7725789.000
10	7	4	39	4105801.000
10	8	4	43	2693816.000
10	9	4	41	3325699.000
10	10	4	39	4105801.000
10	11	4	54	845348.000
10	12	4	55	760813.000
10	13	4	61	404327.000
10	14	4	52	1043639.000
10	15	4	57	616259.000
10	16	4	65	265279.000
10	17	4	68	193389.000
10	18	4	65	265279.000
10	19	4	78	67430.000
10	20	4	69	174050.000
10	21	4	64	294755.000
10	22	4	78	67430.000
10	23	4	70	156645.000
10	24	4	82	44241.000
10	25	4	71	140980.000
10	26	4	76	83247.000
10	27	4	81	49157.000
10	28	4	79	60687.000
10	29	4	83	39817.000
10	30	4	78	67430.000
10	31	4	77	74923.000
10	32	4	85	32252.000
10	33	4	75	92497.000
10	34	4	83	39817.000
10	35	4	86	29027.000
10	36	4	83	39817.000
10	37	4	92	15426.000
10	38	4	82	44241.000
10	39	4	91	17140.000
10	40	4	87	26124.000
11	0	4	0	250000000.000
11	1	4	8	107616803.000
11	2	4	7	119574225.000
11	3	4	15	51472783.000
11	4	4	20	30394164.000
11	5	4	26	16152705.000
11	6	4	32	8584210.000
11	7	4	37	5068890.000
11	8	4	40	3695221.000
11	9	4	40	3695221.000
11	10	4	43	2693816.000
11	11	4	45	2181991.000
11	12	4	43	2693816.000
11	13	4	61	404327.000
11	14	4	63	327505.000
11	15	4	63	327505.000
11	16	4	58	554633.000
11	17	4	61	404327.000
11	18	4	69	174050.000
11	19	4	67	214876.000
11	20	4	69	174050.000
11	21	4	65	265279.000
11	22	4	72	126882.000
11	23	4	75	92497.000
11	24	4	76	83247.000
11	25	4	68	193389.000
11	26	4	71	140980.000
11	27	4	83	39817.000
11	28	4	83	39817.000
11	29	4	78	67430.000
11	30	4	81	49157.000
11	31	4	81	49157.000
11	32	4	76	83247.000
11	33	4	91	17140.000
11	34	4	89	21160.000
11	35	4	88	23512.000
11	36	4	86	29027.000
11	37	4	91	17140.000
11	38	4	86	29027.000
11	39	4	88	23512.000
11	40	4	89	21160.000
12	0	5	0	200000000.000
12	1	5	4	131220000.000
12	2	5	17	33354363.000
12	3	5	24	15953289.000
12	4	5	36	4505680.000
12	5	5	38	3649601.000
12	6	5	49	1145283.000
12	7	5	51	927680.000
12	8	5	47	1413930.000
12	9	5	53	751420.000
12	10	5	49	1145283.000
12	11	5	61	323462.000
12	12	5	63	262004.000
12	13	5	62	291116.000
12	14	5	71	112784.000
12	15	5	80	43695.000
12	16	5	73	91355.000
12	17	5	75	73998.000
12	18	5	78	53944.000
12	19	5	82	35393.000
12	20	5	75	73998.000
12	21	5	84	28668.000
12	22	5	82	35393.000
12	23	5	85	25801.000
